date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:30	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Jan%202024%2013:45:29%20GMT	https://www.shipito.com/imgs/locations/WhsAU4.png	D:/shipito/shipito/www.shipito.com/imgs/locations/WhsAU4.png	(from https://www.shipito.com/fr/help/locations)
14:45:30	81987/81987	---M--	200	added ('OK')	image/png	etag:13195d4f58c3f49f3ee2ae9c9ac0d855	https://www.shipito.com/en/imgs/locations/WhsAU3.png	D:/shipito/shipito/www.shipito.com/en/imgs/locations/Austria3.png	(from https://www.shipito.com/fr/help/locations)
14:45:30	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Jan%202024%2013:45:29%20GMT	https://www.shipito.com/imgs/locations/WhsAU5.png	D:/shipito/shipito/www.shipito.com/imgs/locations/WhsAU5.png	(from https://www.shipito.com/fr/help/locations)
14:45:31	78844/78844	---M--	200	added ('OK')	image/png	etag:e2c61e096c95b2f49fb2c280ca6f9127	https://www.shipito.com/en/imgs/locations/WhsAU4.png	D:/shipito/shipito/www.shipito.com/en/imgs/locations/Austria4.png	(from https://www.shipito.com/fr/help/locations)
14:45:31	76945/76945	---M--	200	added ('OK')	image/png	etag:e2730a17524599543eb26237a37b923a	https://www.shipito.com/en/imgs/locations/WhsAU5.png	D:/shipito/shipito/www.shipito.com/en/imgs/locations/Austria5.png	(from https://www.shipito.com/fr/help/locations)
14:45:32	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Jan%202024%2013:45:31%20GMT	https://www.shipito.com/imgs/locations/WhsJP1.jpg	D:/shipito/shipito/www.shipito.com/imgs/locations/WhsJP1.jpg	(from https://www.shipito.com/fr/help/locations)
14:45:33	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Jan%202024%2013:45:32%20GMT	https://www.shipito.com/imgs/locations/WhsJP2.jpg	D:/shipito/shipito/www.shipito.com/imgs/locations/WhsJP2.jpg	(from https://www.shipito.com/fr/help/locations)
14:45:35	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Jan%202024%2013:45:33%20GMT	https://www.shipito.com/imgs/locations/WhsJP3.jpg	D:/shipito/shipito/www.shipito.com/imgs/locations/WhsJP3.jpg	(from https://www.shipito.com/fr/help/locations)
14:45:36	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Jan%202024%2013:45:35%20GMT	https://www.shipito.com/imgs/locations/WhsJP4.jpg	D:/shipito/shipito/www.shipito.com/imgs/locations/WhsJP4.jpg	(from https://www.shipito.com/fr/help/locations)
14:45:38	242707/242707	---M--	200	added ('OK')	image/jpeg	etag:9edd9b6d4fa68abe6ae790774eb2c460	https://www.shipito.com/en/imgs/locations/WhsJP1.jpg	D:/shipito/shipito/www.shipito.com/en/imgs/locations/Japan1.jpg	(from https://www.shipito.com/fr/help/locations)
14:45:39	0/0	---M--	302	error ('Found')	text/html	date:Tue,%2023%20Jan%202024%2013:45:38%20GMT	https://www.shipito.com/imgs/locations/WhsJP5.jpg	D:/shipito/shipito/www.shipito.com/imgs/locations/WhsJP5.jpg	(from https://www.shipito.com/fr/help/locations)
